County,County Code,Year,source,State,Deaths caused by All other drug-induced causes,Deaths caused by Drug poisonings (overdose) Homicide (X85),Deaths caused by Drug poisonings (overdose) Suicide (X60-X64),Deaths caused by Drug poisonings (overdose) Undetermined (Y10-Y14),Deaths caused by Drug poisonings (overdose) Unintentional (X40-X44)
Accomack County,51001.0,2011.0,"Underlying Cause of Death, 2011.txt",VA,,,,,
Accomack County,51001.0,2012.0,"Underlying Cause of Death, 2012.txt",VA,,,,,
Accomack County,51001.0,2013.0,"Underlying Cause of Death, 2013.txt",VA,,,,,
Accomack County,51001.0,2014.0,"Underlying Cause of Death, 2014.txt",VA,,,,,
Accomack County,51001.0,2015.0,"Underlying Cause of Death, 2015.txt",VA,,,,,
Ada County,16001.0,2003.0,"Underlying Cause of Death, 2003.txt",ID,,,,,17.0
Ada County,16001.0,2004.0,"Underlying Cause of Death, 2004.txt",ID,,,,,21.0
Ada County,16001.0,2005.0,"Underlying Cause of Death, 2005.txt",ID,,,,,20.0
Ada County,16001.0,2006.0,"Underlying Cause of Death, 2006.txt",ID,,,,,32.0
Ada County,16001.0,2007.0,"Underlying Cause of Death, 2007.txt",ID,,,,,32.0
Ada County,16001.0,2008.0,"Underlying Cause of Death, 2008.txt",ID,,,,11.0,26.0
Ada County,16001.0,2009.0,"Underlying Cause of Death, 2009.txt",ID,,,10.0,,34.0
Ada County,16001.0,2010.0,"Underlying Cause of Death, 2010.txt",ID,,,,,35.0
Ada County,16001.0,2011.0,"Underlying Cause of Death, 2011.txt",ID,,,13.0,,32.0
Ada County,16001.0,2012.0,"Underlying Cause of Death, 2012.txt",ID,,,,,28.0
Ada County,16001.0,2013.0,"Underlying Cause of Death, 2013.txt",ID,,,12.0,,43.0
Ada County,16001.0,2014.0,"Underlying Cause of Death, 2014.txt",ID,,,15.0,,50.0
Ada County,16001.0,2015.0,"Underlying Cause of Death, 2015.txt",ID,,,14,,30
Adair County,19001.0,2003.0,"Underlying Cause of Death, 2003.txt",IA,,,,,
Adair County,19001.0,2004.0,"Underlying Cause of Death, 2004.txt",IA,,,,,
Adair County,19001.0,2005.0,"Underlying Cause of Death, 2005.txt",IA,,,,,
Adair County,19001.0,2006.0,"Underlying Cause of Death, 2006.txt",IA,,,,,
Adair County,19001.0,2007.0,"Underlying Cause of Death, 2007.txt",IA,,,,,
Adair County,19001.0,2008.0,"Underlying Cause of Death, 2008.txt",IA,,,,,
Adair County,19001.0,2009.0,"Underlying Cause of Death, 2009.txt",IA,,,,,
Adair County,19001.0,2010.0,"Underlying Cause of Death, 2010.txt",IA,,,,,
Adair County,19001.0,2011.0,"Underlying Cause of Death, 2011.txt",IA,,,,,
Adair County,19001.0,2012.0,"Underlying Cause of Death, 2012.txt",IA,,,,,
Adair County,19001.0,2013.0,"Underlying Cause of Death, 2013.txt",IA,,,,,
Adair County,19001.0,2014.0,"Underlying Cause of Death, 2014.txt",IA,,,,,
Adair County,19001.0,2015.0,"Underlying Cause of Death, 2015.txt",IA,,,,,
Adair County,21001.0,2003.0,"Underlying Cause of Death, 2003.txt",KY,,,,,
Adair County,21001.0,2004.0,"Underlying Cause of Death, 2004.txt",KY,,,,,
Adair County,21001.0,2005.0,"Underlying Cause of Death, 2005.txt",KY,,,,,
Adair County,21001.0,2006.0,"Underlying Cause of Death, 2006.txt",KY,,,,,
Adair County,21001.0,2007.0,"Underlying Cause of Death, 2007.txt",KY,,,,,
Adair County,21001.0,2008.0,"Underlying Cause of Death, 2008.txt",KY,,,,,
Adair County,21001.0,2009.0,"Underlying Cause of Death, 2009.txt",KY,,,,,
Adair County,21001.0,2010.0,"Underlying Cause of Death, 2010.txt",KY,,,,,
Adair County,21001.0,2011.0,"Underlying Cause of Death, 2011.txt",KY,,,,,
Adair County,21001.0,2012.0,"Underlying Cause of Death, 2012.txt",KY,,,,,
Adair County,21001.0,2013.0,"Underlying Cause of Death, 2013.txt",KY,,,,,
Adair County,21001.0,2014.0,"Underlying Cause of Death, 2014.txt",KY,,,,,
Adair County,21001.0,2015.0,"Underlying Cause of Death, 2015.txt",KY,,,,,
Adair County,29001.0,2003.0,"Underlying Cause of Death, 2003.txt",MO,,,,,
Adair County,29001.0,2004.0,"Underlying Cause of Death, 2004.txt",MO,,,,,
Adair County,29001.0,2005.0,"Underlying Cause of Death, 2005.txt",MO,,,,,
Adair County,29001.0,2006.0,"Underlying Cause of Death, 2006.txt",MO,,,,,
Adair County,29001.0,2007.0,"Underlying Cause of Death, 2007.txt",MO,,,,,
Adair County,29001.0,2008.0,"Underlying Cause of Death, 2008.txt",MO,,,,,
Adair County,29001.0,2009.0,"Underlying Cause of Death, 2009.txt",MO,,,,,
Adair County,29001.0,2010.0,"Underlying Cause of Death, 2010.txt",MO,,,,,
Adair County,29001.0,2011.0,"Underlying Cause of Death, 2011.txt",MO,,,,,
Adair County,29001.0,2012.0,"Underlying Cause of Death, 2012.txt",MO,,,,,
Adair County,29001.0,2013.0,"Underlying Cause of Death, 2013.txt",MO,,,,,
Adair County,29001.0,2014.0,"Underlying Cause of Death, 2014.txt",MO,,,,,
Adair County,29001.0,2015.0,"Underlying Cause of Death, 2015.txt",MO,,,,,
Adair County,40001.0,2003.0,"Underlying Cause of Death, 2003.txt",OK,,,,,
Adair County,40001.0,2004.0,"Underlying Cause of Death, 2004.txt",OK,,,,,
Adair County,40001.0,2005.0,"Underlying Cause of Death, 2005.txt",OK,,,,,
Adair County,40001.0,2006.0,"Underlying Cause of Death, 2006.txt",OK,,,,,
Adair County,40001.0,2007.0,"Underlying Cause of Death, 2007.txt",OK,,,,,
Adair County,40001.0,2008.0,"Underlying Cause of Death, 2008.txt",OK,,,,,
Adair County,40001.0,2009.0,"Underlying Cause of Death, 2009.txt",OK,,,,,
Adair County,40001.0,2010.0,"Underlying Cause of Death, 2010.txt",OK,,,,,
Adair County,40001.0,2011.0,"Underlying Cause of Death, 2011.txt",OK,,,,,
Adair County,40001.0,2012.0,"Underlying Cause of Death, 2012.txt",OK,,,,,
Adair County,40001.0,2013.0,"Underlying Cause of Death, 2013.txt",OK,,,,,
Adair County,40001.0,2014.0,"Underlying Cause of Death, 2014.txt",OK,,,,,
Adair County,40001.0,2015.0,"Underlying Cause of Death, 2015.txt",OK,,,,,
Adams County,8001.0,2003.0,"Underlying Cause of Death, 2003.txt",CO,,,10.0,,32.0
Adams County,8001.0,2004.0,"Underlying Cause of Death, 2004.txt",CO,,,11.0,,35.0
Adams County,8001.0,2005.0,"Underlying Cause of Death, 2005.txt",CO,,,15.0,,48.0
Adams County,8001.0,2006.0,"Underlying Cause of Death, 2006.txt",CO,,,10.0,,52.0
Adams County,8001.0,2007.0,"Underlying Cause of Death, 2007.txt",CO,,,19.0,,51.0
Adams County,8001.0,2008.0,"Underlying Cause of Death, 2008.txt",CO,,,,,50.0
Adams County,8001.0,2009.0,"Underlying Cause of Death, 2009.txt",CO,,,15.0,,52.0
Adams County,8001.0,2010.0,"Underlying Cause of Death, 2010.txt",CO,,,,,53.0
Adams County,8001.0,2011.0,"Underlying Cause of Death, 2011.txt",CO,,,14.0,,74.0
Adams County,8001.0,2012.0,"Underlying Cause of Death, 2012.txt",CO,,,13.0,,78.0
Adams County,8001.0,2013.0,"Underlying Cause of Death, 2013.txt",CO,,,14.0,,64.0
Adams County,8001.0,2014.0,"Underlying Cause of Death, 2014.txt",CO,,,14.0,,74.0
Adams County,8001.0,2015.0,"Underlying Cause of Death, 2015.txt",CO,,,17,,67
Adams County,16003.0,2003.0,"Underlying Cause of Death, 2003.txt",ID,,,,,
Adams County,16003.0,2004.0,"Underlying Cause of Death, 2004.txt",ID,,,,,
Adams County,16003.0,2005.0,"Underlying Cause of Death, 2005.txt",ID,,,,,
Adams County,16003.0,2006.0,"Underlying Cause of Death, 2006.txt",ID,,,,,
Adams County,16003.0,2007.0,"Underlying Cause of Death, 2007.txt",ID,,,,,
Adams County,16003.0,2008.0,"Underlying Cause of Death, 2008.txt",ID,,,,,
Adams County,16003.0,2009.0,"Underlying Cause of Death, 2009.txt",ID,,,,,
Adams County,16003.0,2010.0,"Underlying Cause of Death, 2010.txt",ID,,,,,
Adams County,16003.0,2011.0,"Underlying Cause of Death, 2011.txt",ID,,,,,
Adams County,16003.0,2012.0,"Underlying Cause of Death, 2012.txt",ID,,,,,
Adams County,16003.0,2013.0,"Underlying Cause of Death, 2013.txt",ID,,,,,
Adams County,16003.0,2014.0,"Underlying Cause of Death, 2014.txt",ID,,,,,
Adams County,16003.0,2015.0,"Underlying Cause of Death, 2015.txt",ID,,,,,
Adams County,17001.0,2003.0,"Underlying Cause of Death, 2003.txt",IL,,,,,
Adams County,17001.0,2004.0,"Underlying Cause of Death, 2004.txt",IL,,,,,
Adams County,17001.0,2005.0,"Underlying Cause of Death, 2005.txt",IL,,,,,
Adams County,17001.0,2006.0,"Underlying Cause of Death, 2006.txt",IL,,,,,
Adams County,17001.0,2007.0,"Underlying Cause of Death, 2007.txt",IL,,,,,
Adams County,17001.0,2008.0,"Underlying Cause of Death, 2008.txt",IL,,,,,
Adams County,17001.0,2009.0,"Underlying Cause of Death, 2009.txt",IL,,,,,
Adams County,17001.0,2010.0,"Underlying Cause of Death, 2010.txt",IL,,,,,
Adams County,17001.0,2011.0,"Underlying Cause of Death, 2011.txt",IL,,,,,
Adams County,17001.0,2012.0,"Underlying Cause of Death, 2012.txt",IL,,,,,
Adams County,17001.0,2013.0,"Underlying Cause of Death, 2013.txt",IL,,,,,
Adams County,17001.0,2014.0,"Underlying Cause of Death, 2014.txt",IL,,,,,
Adams County,17001.0,2015.0,"Underlying Cause of Death, 2015.txt",IL,,,,,14
Adams County,18001.0,2003.0,"Underlying Cause of Death, 2003.txt",IN,,,,,
Adams County,18001.0,2004.0,"Underlying Cause of Death, 2004.txt",IN,,,,,
Adams County,18001.0,2005.0,"Underlying Cause of Death, 2005.txt",IN,,,,,
Adams County,18001.0,2006.0,"Underlying Cause of Death, 2006.txt",IN,,,,,
Adams County,18001.0,2007.0,"Underlying Cause of Death, 2007.txt",IN,,,,,
Adams County,18001.0,2008.0,"Underlying Cause of Death, 2008.txt",IN,,,,,
Adams County,18001.0,2009.0,"Underlying Cause of Death, 2009.txt",IN,,,,,
Adams County,18001.0,2010.0,"Underlying Cause of Death, 2010.txt",IN,,,,,
Adams County,18001.0,2011.0,"Underlying Cause of Death, 2011.txt",IN,,,,,
Adams County,18001.0,2012.0,"Underlying Cause of Death, 2012.txt",IN,,,,,
Adams County,18001.0,2013.0,"Underlying Cause of Death, 2013.txt",IN,,,,,
Adams County,18001.0,2014.0,"Underlying Cause of Death, 2014.txt",IN,,,,,
Adams County,18001.0,2015.0,"Underlying Cause of Death, 2015.txt",IN,,,,,
Adams County,19003.0,2003.0,"Underlying Cause of Death, 2003.txt",IA,,,,,
Adams County,19003.0,2004.0,"Underlying Cause of Death, 2004.txt",IA,,,,,
Adams County,19003.0,2005.0,"Underlying Cause of Death, 2005.txt",IA,,,,,
Adams County,19003.0,2006.0,"Underlying Cause of Death, 2006.txt",IA,,,,,
Adams County,19003.0,2007.0,"Underlying Cause of Death, 2007.txt",IA,,,,,
Adams County,19003.0,2008.0,"Underlying Cause of Death, 2008.txt",IA,,,,,
Adams County,19003.0,2009.0,"Underlying Cause of Death, 2009.txt",IA,,,,,
Adams County,19003.0,2010.0,"Underlying Cause of Death, 2010.txt",IA,,,,,
Adams County,19003.0,2011.0,"Underlying Cause of Death, 2011.txt",IA,,,,,
Adams County,19003.0,2012.0,"Underlying Cause of Death, 2012.txt",IA,,,,,
Adams County,19003.0,2013.0,"Underlying Cause of Death, 2013.txt",IA,,,,,
Adams County,19003.0,2014.0,"Underlying Cause of Death, 2014.txt",IA,,,,,
Adams County,19003.0,2015.0,"Underlying Cause of Death, 2015.txt",IA,,,,,
Adams County,28001.0,2003.0,"Underlying Cause of Death, 2003.txt",MS,,,,,
Adams County,28001.0,2004.0,"Underlying Cause of Death, 2004.txt",MS,,,,,
Adams County,28001.0,2005.0,"Underlying Cause of Death, 2005.txt",MS,,,,,
Adams County,28001.0,2006.0,"Underlying Cause of Death, 2006.txt",MS,,,,,
Adams County,28001.0,2007.0,"Underlying Cause of Death, 2007.txt",MS,,,,,
Adams County,28001.0,2008.0,"Underlying Cause of Death, 2008.txt",MS,,,,,
Adams County,28001.0,2009.0,"Underlying Cause of Death, 2009.txt",MS,,,,,
Adams County,28001.0,2010.0,"Underlying Cause of Death, 2010.txt",MS,,,,,
Adams County,28001.0,2011.0,"Underlying Cause of Death, 2011.txt",MS,,,,,
Adams County,28001.0,2012.0,"Underlying Cause of Death, 2012.txt",MS,,,,,
Adams County,28001.0,2013.0,"Underlying Cause of Death, 2013.txt",MS,,,,,
Adams County,28001.0,2014.0,"Underlying Cause of Death, 2014.txt",MS,,,,,
Adams County,28001.0,2015.0,"Underlying Cause of Death, 2015.txt",MS,,,,,
Adams County,31001.0,2003.0,"Underlying Cause of Death, 2003.txt",NE,,,,,
Adams County,31001.0,2004.0,"Underlying Cause of Death, 2004.txt",NE,,,,,
Adams County,31001.0,2005.0,"Underlying Cause of Death, 2005.txt",NE,,,,,
Adams County,31001.0,2006.0,"Underlying Cause of Death, 2006.txt",NE,,,,,
Adams County,31001.0,2007.0,"Underlying Cause of Death, 2007.txt",NE,,,,,
Adams County,31001.0,2008.0,"Underlying Cause of Death, 2008.txt",NE,,,,,
Adams County,31001.0,2009.0,"Underlying Cause of Death, 2009.txt",NE,,,,,
Adams County,31001.0,2010.0,"Underlying Cause of Death, 2010.txt",NE,,,,,
Adams County,31001.0,2011.0,"Underlying Cause of Death, 2011.txt",NE,,,,,
Adams County,31001.0,2012.0,"Underlying Cause of Death, 2012.txt",NE,,,,,
Adams County,31001.0,2013.0,"Underlying Cause of Death, 2013.txt",NE,,,,,
Adams County,31001.0,2014.0,"Underlying Cause of Death, 2014.txt",NE,,,,,
Adams County,31001.0,2015.0,"Underlying Cause of Death, 2015.txt",NE,,,,,
Adams County,38001.0,2003.0,"Underlying Cause of Death, 2003.txt",ND,,,,,
Adams County,38001.0,2004.0,"Underlying Cause of Death, 2004.txt",ND,,,,,
Adams County,38001.0,2005.0,"Underlying Cause of Death, 2005.txt",ND,,,,,
Adams County,38001.0,2006.0,"Underlying Cause of Death, 2006.txt",ND,,,,,
Adams County,38001.0,2007.0,"Underlying Cause of Death, 2007.txt",ND,,,,,
Adams County,38001.0,2008.0,"Underlying Cause of Death, 2008.txt",ND,,,,,
Adams County,38001.0,2009.0,"Underlying Cause of Death, 2009.txt",ND,,,,,
Adams County,38001.0,2010.0,"Underlying Cause of Death, 2010.txt",ND,,,,,
Adams County,38001.0,2011.0,"Underlying Cause of Death, 2011.txt",ND,,,,,
Adams County,38001.0,2012.0,"Underlying Cause of Death, 2012.txt",ND,,,,,
Adams County,38001.0,2013.0,"Underlying Cause of Death, 2013.txt",ND,,,,,
Adams County,38001.0,2014.0,"Underlying Cause of Death, 2014.txt",ND,,,,,
Adams County,38001.0,2015.0,"Underlying Cause of Death, 2015.txt",ND,,,,,
Adams County,39001.0,2003.0,"Underlying Cause of Death, 2003.txt",OH,,,,,
Adams County,39001.0,2004.0,"Underlying Cause of Death, 2004.txt",OH,,,,,
Adams County,39001.0,2005.0,"Underlying Cause of Death, 2005.txt",OH,,,,,
Adams County,39001.0,2006.0,"Underlying Cause of Death, 2006.txt",OH,,,,,
Adams County,39001.0,2007.0,"Underlying Cause of Death, 2007.txt",OH,,,,,
Adams County,39001.0,2008.0,"Underlying Cause of Death, 2008.txt",OH,,,,,
Adams County,39001.0,2009.0,"Underlying Cause of Death, 2009.txt",OH,,,,,
Adams County,39001.0,2010.0,"Underlying Cause of Death, 2010.txt",OH,,,,,
Adams County,39001.0,2011.0,"Underlying Cause of Death, 2011.txt",OH,,,,,
Adams County,39001.0,2012.0,"Underlying Cause of Death, 2012.txt",OH,,,,,10.0
Adams County,39001.0,2013.0,"Underlying Cause of Death, 2013.txt",OH,,,,,
Adams County,39001.0,2014.0,"Underlying Cause of Death, 2014.txt",OH,,,,,10.0
Adams County,39001.0,2015.0,"Underlying Cause of Death, 2015.txt",OH,,,,,13
Adams County,42001.0,2003.0,"Underlying Cause of Death, 2003.txt",PA,,,,,
Adams County,42001.0,2004.0,"Underlying Cause of Death, 2004.txt",PA,,,,,
Adams County,42001.0,2005.0,"Underlying Cause of Death, 2005.txt",PA,,,,,
Adams County,42001.0,2006.0,"Underlying Cause of Death, 2006.txt",PA,,,,,
Adams County,42001.0,2007.0,"Underlying Cause of Death, 2007.txt",PA,,,,,
Adams County,42001.0,2008.0,"Underlying Cause of Death, 2008.txt",PA,,,,,
Adams County,42001.0,2009.0,"Underlying Cause of Death, 2009.txt",PA,,,,,12.0
Adams County,42001.0,2010.0,"Underlying Cause of Death, 2010.txt",PA,,,,,10.0
Adams County,42001.0,2011.0,"Underlying Cause of Death, 2011.txt",PA,,,,,
Adams County,42001.0,2012.0,"Underlying Cause of Death, 2012.txt",PA,,,,,
Adams County,42001.0,2013.0,"Underlying Cause of Death, 2013.txt",PA,,,,,
Adams County,42001.0,2014.0,"Underlying Cause of Death, 2014.txt",PA,,,,,
Adams County,42001.0,2015.0,"Underlying Cause of Death, 2015.txt",PA,,,,,
Adams County,53001.0,2003.0,"Underlying Cause of Death, 2003.txt",WA,,,,,
Adams County,53001.0,2004.0,"Underlying Cause of Death, 2004.txt",WA,,,,,
Adams County,53001.0,2005.0,"Underlying Cause of Death, 2005.txt",WA,,,,,
Adams County,53001.0,2006.0,"Underlying Cause of Death, 2006.txt",WA,,,,,
Adams County,53001.0,2007.0,"Underlying Cause of Death, 2007.txt",WA,,,,,
Adams County,53001.0,2008.0,"Underlying Cause of Death, 2008.txt",WA,,,,,
Adams County,53001.0,2009.0,"Underlying Cause of Death, 2009.txt",WA,,,,,
Adams County,53001.0,2010.0,"Underlying Cause of Death, 2010.txt",WA,,,,,
Adams County,53001.0,2011.0,"Underlying Cause of Death, 2011.txt",WA,,,,,
Adams County,53001.0,2012.0,"Underlying Cause of Death, 2012.txt",WA,,,,,
Adams County,53001.0,2013.0,"Underlying Cause of Death, 2013.txt",WA,,,,,
Adams County,53001.0,2014.0,"Underlying Cause of Death, 2014.txt",WA,,,,,
Adams County,53001.0,2015.0,"Underlying Cause of Death, 2015.txt",WA,,,,,
Adams County,55001.0,2003.0,"Underlying Cause of Death, 2003.txt",WI,,,,,
Adams County,55001.0,2004.0,"Underlying Cause of Death, 2004.txt",WI,,,,,
Adams County,55001.0,2005.0,"Underlying Cause of Death, 2005.txt",WI,,,,,
Adams County,55001.0,2006.0,"Underlying Cause of Death, 2006.txt",WI,,,,,
Adams County,55001.0,2007.0,"Underlying Cause of Death, 2007.txt",WI,,,,,
Adams County,55001.0,2008.0,"Underlying Cause of Death, 2008.txt",WI,,,,,
Adams County,55001.0,2009.0,"Underlying Cause of Death, 2009.txt",WI,,,,,
Adams County,55001.0,2010.0,"Underlying Cause of Death, 2010.txt",WI,,,,,
Adams County,55001.0,2011.0,"Underlying Cause of Death, 2011.txt",WI,,,,,
Adams County,55001.0,2012.0,"Underlying Cause of Death, 2012.txt",WI,,,,,
Adams County,55001.0,2013.0,"Underlying Cause of Death, 2013.txt",WI,,,,,
Adams County,55001.0,2014.0,"Underlying Cause of Death, 2014.txt",WI,,,,,
Adams County,55001.0,2015.0,"Underlying Cause of Death, 2015.txt",WI,,,,,
Addison County,50001.0,2003.0,"Underlying Cause of Death, 2003.txt",VT,,,,,
Addison County,50001.0,2004.0,"Underlying Cause of Death, 2004.txt",VT,,,,,
Addison County,50001.0,2005.0,"Underlying Cause of Death, 2005.txt",VT,,,,,
Addison County,50001.0,2006.0,"Underlying Cause of Death, 2006.txt",VT,,,,,
Addison County,50001.0,2007.0,"Underlying Cause of Death, 2007.txt",VT,,,,,
Addison County,50001.0,2008.0,"Underlying Cause of Death, 2008.txt",VT,,,,,
Addison County,50001.0,2009.0,"Underlying Cause of Death, 2009.txt",VT,,,,,
Addison County,50001.0,2010.0,"Underlying Cause of Death, 2010.txt",VT,,,,,
Addison County,50001.0,2011.0,"Underlying Cause of Death, 2011.txt",VT,,,,,
Addison County,50001.0,2012.0,"Underlying Cause of Death, 2012.txt",VT,,,,,
Addison County,50001.0,2013.0,"Underlying Cause of Death, 2013.txt",VT,,,,,
Addison County,50001.0,2014.0,"Underlying Cause of Death, 2014.txt",VT,,,,,
Addison County,50001.0,2015.0,"Underlying Cause of Death, 2015.txt",VT,,,,,
Aiken County,45003.0,2003.0,"Underlying Cause of Death, 2003.txt",SC,,,,,10.0
Aiken County,45003.0,2004.0,"Underlying Cause of Death, 2004.txt",SC,,,,,16.0
Aiken County,45003.0,2005.0,"Underlying Cause of Death, 2005.txt",SC,,,,,13.0
Aiken County,45003.0,2006.0,"Underlying Cause of Death, 2006.txt",SC,,,,,25.0
Aiken County,45003.0,2007.0,"Underlying Cause of Death, 2007.txt",SC,,,,,19.0
Aiken County,45003.0,2008.0,"Underlying Cause of Death, 2008.txt",SC,,,,,18.0
Aiken County,45003.0,2009.0,"Underlying Cause of Death, 2009.txt",SC,,,,,21.0
Aiken County,45003.0,2010.0,"Underlying Cause of Death, 2010.txt",SC,,,,,25.0
Aiken County,45003.0,2011.0,"Underlying Cause of Death, 2011.txt",SC,,,,,22.0
Aiken County,45003.0,2012.0,"Underlying Cause of Death, 2012.txt",SC,,,,,26.0
Aiken County,45003.0,2013.0,"Underlying Cause of Death, 2013.txt",SC,,,,,27.0
Aiken County,45003.0,2014.0,"Underlying Cause of Death, 2014.txt",SC,,,,,26.0
Aiken County,45003.0,2015.0,"Underlying Cause of Death, 2015.txt",SC,,,,,30
Aitkin County,27001.0,2003.0,"Underlying Cause of Death, 2003.txt",MN,,,,,
Aitkin County,27001.0,2004.0,"Underlying Cause of Death, 2004.txt",MN,,,,,
Aitkin County,27001.0,2005.0,"Underlying Cause of Death, 2005.txt",MN,,,,,
Aitkin County,27001.0,2006.0,"Underlying Cause of Death, 2006.txt",MN,,,,,
Aitkin County,27001.0,2007.0,"Underlying Cause of Death, 2007.txt",MN,,,,,
Aitkin County,27001.0,2008.0,"Underlying Cause of Death, 2008.txt",MN,,,,,
Aitkin County,27001.0,2009.0,"Underlying Cause of Death, 2009.txt",MN,,,,,
Aitkin County,27001.0,2010.0,"Underlying Cause of Death, 2010.txt",MN,,,,,
Aitkin County,27001.0,2011.0,"Underlying Cause of Death, 2011.txt",MN,,,,,
Aitkin County,27001.0,2012.0,"Underlying Cause of Death, 2012.txt",MN,,,,,
Aitkin County,27001.0,2013.0,"Underlying Cause of Death, 2013.txt",MN,,,,,
Aitkin County,27001.0,2014.0,"Underlying Cause of Death, 2014.txt",MN,,,,,
Aitkin County,27001.0,2015.0,"Underlying Cause of Death, 2015.txt",MN,,,,,
Alachua County,12001.0,2003.0,"Underlying Cause of Death, 2003.txt",FL,,,,,11.0
Alachua County,12001.0,2004.0,"Underlying Cause of Death, 2004.txt",FL,,,,,
Alachua County,12001.0,2005.0,"Underlying Cause of Death, 2005.txt",FL,,,,,
Alachua County,12001.0,2006.0,"Underlying Cause of Death, 2006.txt",FL,,,,,
Alachua County,12001.0,2007.0,"Underlying Cause of Death, 2007.txt",FL,,,,,17.0
Alachua County,12001.0,2008.0,"Underlying Cause of Death, 2008.txt",FL,,,,,
Alachua County,12001.0,2009.0,"Underlying Cause of Death, 2009.txt",FL,,,,,15.0
Alachua County,12001.0,2010.0,"Underlying Cause of Death, 2010.txt",FL,,,,,15.0
Alachua County,12001.0,2011.0,"Underlying Cause of Death, 2011.txt",FL,,,,,14.0
Alachua County,12001.0,2012.0,"Underlying Cause of Death, 2012.txt",FL,,,,,14.0
Alachua County,12001.0,2013.0,"Underlying Cause of Death, 2013.txt",FL,,,,,12.0
Alachua County,12001.0,2014.0,"Underlying Cause of Death, 2014.txt",FL,,,,,19.0
Alachua County,12001.0,2015.0,"Underlying Cause of Death, 2015.txt",FL,,,,,23
Alamance County,37001.0,2003.0,"Underlying Cause of Death, 2003.txt",NC,,,,,
Alamance County,37001.0,2004.0,"Underlying Cause of Death, 2004.txt",NC,,,,,
Alamance County,37001.0,2005.0,"Underlying Cause of Death, 2005.txt",NC,,,,,11.0
Alamance County,37001.0,2006.0,"Underlying Cause of Death, 2006.txt",NC,,,,,10.0
Alamance County,37001.0,2007.0,"Underlying Cause of Death, 2007.txt",NC,,,,,11.0
